RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2025,11350,노원구,10300,공릉동,,,,,,2025-03-31,32000,150.63,89.0,0.0,,,1996,단독다가구,직거래,
2025,11710,송파구,10100,잠실동,1,대지,0101,0001,우성아파트,2025-03-31,208000,131.08,0.0,8.0,,,1981,아파트,직거래,
2025,11380,은평구,10700,응암동,1,대지,0113,0023,네오라이프,2025-03-31,11700,31.16,38.826,6.0,,,2002,오피스텔,중개거래,서울 은평구
2025,11470,양천구,10200,목동,1,대지,0901,0000,목동신시가지1,2025-03-31,225000,88.5,0.0,10.0,,,1985,아파트,중개거래,서울 양천구
2025,11110,종로구,17500,숭인동,1,대지,0296,0019,삼전솔하임2차,2025-03-31,11200,16.67,0.0,9.0,,,2012,아파트,중개거래,서울 종로구
2025,11320,도봉구,10800,도봉동,1,대지,0062,0001,도봉 엠블렘,2025-03-31,9800,18.961,20.71,6.0,,,2018,오피스텔,중개거래,"서울 강북구, 서울 도봉구"
2025,11410,서대문구,11600,창천동,1,대지,0020,0041,아남오피스텔,2025-03-31,18900,28.5,38.05,14.0,,,2004,오피스텔,중개거래,서울 서대문구
2025,11500,강서구,10200,등촌동,1,대지,0521,0012,등촌팰리스,2025-03-31,24000,16.2,15.0,3.0,,,2017,연립다세대,중개거래,서울 강서구
2025,11500,강서구,10600,내발산동,1,대지,0657,0000,우장산힐스테이트,2025-03-31,139500,84.98,0.0,9.0,,,2005,아파트,중개거래,서울 강서구
2025,11230,동대문구,10400,전농동,1,대지,0597,0011,전농동복합시설(청량리역DUO196),2025-03-31,14050,19.99,28.89,8.0,,,2015,오피스텔,중개거래,서울 동대문구
2025,11500,강서구,10800,공항동,1,대지,0658,0005,현대홈타운,2025-03-31,27600,35.98,21.0,2.0,,,2015,연립다세대,중개거래,서울 강서구
2025,11380,은평구,10400,갈현동,1,대지,0517,0027,고은명가,2025-03-30,17000,29.34,18.0,5.0,,,2014,연립다세대,중개거래,서울 은평구
2025,11440,마포구,12200,합정동,1,대지,0382,0020,스퀘어리버뷰합정,2025-03-30,32400,18.848,27.193,12.0,,,2021,오피스텔,중개거래,서울 마포구
2025,11590,동작구,10200,상도동,1,대지,0414,0000,건영,2025-03-30,57600,32.8,0.0,14.0,,,1997,아파트,중개거래,서울 동작구
2025,11440,마포구,11000,노고산동,1,대지,0107,0036,현대벤처빌,2025-03-30,29400,34.64,0.0,8.0,,,2002,아파트,중개거래,서울 마포구
2025,11380,은평구,11400,진관동,1,대지,0027,0000,구파발10단지어울림(1011~1019동)BL3-1,2025-03-30,94000,84.78,0.0,5.0,,,2010,아파트,중개거래,서울 은평구
2025,11230,동대문구,11000,이문동,1,대지,0225,0000,대림e-편한세상,2025-03-30,89500,84.972,0.0,11.0,,,2003,아파트,중개거래,서울 동대문구
2025,11740,강동구,10300,상일동,1,대지,0513,0000,고덕센트럴IPARK,2025-03-30,160000,84.91,0.0,14.0,,,2019,아파트,중개거래,서울 강동구
2025,11320,도봉구,10700,창동,1,대지,0347,0000,창동주공3단지(해등마을),2025-03-30,57000,49.94,0.0,11.0,,,1990,아파트,중개거래,서울 도봉구
2025,11740,강동구,10300,상일동,1,대지,0519,0000,고덕아르테온,2025-03-30,150000,59.96,0.0,6.0,,,2020,아파트,중개거래,서울 강동구
2025,11470,양천구,10100,신정동,1,대지,0312,0000,목동신시가지9,2025-03-30,236000,106.93,0.0,5.0,,,1987,아파트,중개거래,서울 양천구
2025,11230,동대문구,10200,용두동,1,대지,0791,0000,용두두산위브,2025-03-30,98500,59.99,0.0,8.0,,,2009,아파트,중개거래,서울 동대문구
2025,11560,영등포구,10200,영등포동1가,1,대지,0094,0002,여의도더리브스타일,2025-03-30,47000,30.269,0.0,13.0,,,2020,아파트,중개거래,서울 영등포구
2025,11230,동대문구,10700,청량리동,1,대지,0212,0000,홍릉동부,2025-03-30,83000,84.91,0.0,18.0,,,2001,아파트,중개거래,서울 동대문구
2025,11200,성동구,11500,성수동2가,,,,,,2025-03-30,260000,157.51,129.0,0.0,,,1988,단독다가구,중개거래,서울 성동구
2025,11380,은평구,10200,녹번동,1,대지,0282,0000,힐스테이트녹번,2025-03-30,103000,59.9,0.0,20.0,,,2019,아파트,중개거래,서울 은평구
2025,11110,종로구,17400,창신동,1,대지,0703,0000,창신쌍용2,2025-03-30,83000,106.62,0.0,9.0,,,1993,아파트,중개거래,서울 종로구
